date,variables,data
2022-10-12T13:30:00Z,temperature,26.3
2022-10-12T13:30:00Z,ph,7.97697640039527
2022-10-12T14:00:00Z,temperature,26.23
2022-10-12T14:00:00Z,ph,7.98400977397757
2022-10-12T14:30:00Z,temperature,26.28
2022-10-12T14:30:00Z,ph,7.97622519656063
2022-10-12T15:00:00Z,temperature,26.21
2022-10-12T15:00:00Z,ph,7.98924761863719
2022-10-12T15:30:00Z,temperature,26.23
2022-10-12T15:30:00Z,ph,7.99081472193434
2022-10-12T16:00:00Z,temperature,26.26
2022-10-12T16:00:00Z,ph,7.99017110724207
2022-10-12T16:30:00Z,temperature,26.3
2022-10-12T16:30:00Z,ph,7.98813390632192
2022-10-12T17:00:00Z,temperature,26.35
2022-10-12T17:00:00Z,ph,7.9863364147396
2022-10-12T17:30:00Z,temperature,26.3
2022-10-12T17:30:00Z,ph,7.98758963774014
2022-10-12T18:00:00Z,temperature,26.3
2022-10-12T18:00:00Z,ph,7.98650110057656
2022-10-12T18:30:00Z,temperature,26.3
2022-10-12T18:30:00Z,ph,7.98677323486745
2022-10-12T19:00:00Z,temperature,26.3
2022-10-12T19:00:00Z,ph,7.98622896628567
2022-10-12T19:30:00Z,temperature,26.3
2022-10-12T19:30:00Z,ph,7.98432402624941
2022-10-12T20:00:00Z,temperature,26.3
2022-10-12T20:00:00Z,ph,7.98514042912209
2022-10-12T20:30:00Z,temperature,26.33
2022-10-12T20:30:00Z,ph,7.98313699810225
2022-10-12T21:00:00Z,temperature,26.35
2022-10-12T21:00:00Z,ph,7.9781737489103
2022-10-12T21:30:00Z,temperature,26.35
2022-10-12T21:30:00Z,ph,7.97762957118834
2022-10-12T22:00:00Z,temperature,26.35
2022-10-12T22:00:00Z,ph,7.97762957118834
2022-10-12T22:30:00Z,temperature,26.33
2022-10-12T22:30:00Z,ph,7.97959960669765
2022-10-12T23:00:00Z,temperature,26.33
2022-10-12T23:00:00Z,ph,7.97715064341754
2022-10-12T23:30:00Z,temperature,26.35
2022-10-12T23:30:00Z,ph,7.97436450485663
2022-10-13T00:00:00Z,temperature,26.35
2022-10-13T00:00:00Z,ph,7.97409241599565
2022-10-13T00:30:00Z,temperature,26.35
2022-10-13T00:30:00Z,ph,7.97436450485663
2022-10-13T01:00:00Z,temperature,26.35
2022-10-13T01:00:00Z,ph,7.97382032713467
2022-10-13T01:30:00Z,temperature,26.35
2022-10-13T01:30:00Z,ph,7.97327614941272
2022-10-13T02:00:00Z,temperature,26.33
2022-10-13T02:00:00Z,ph,7.97361325201294
2022-10-13T02:30:00Z,temperature,26.33
2022-10-13T02:30:00Z,ph,7.97306903795069
2022-10-13T03:00:00Z,temperature,26.33
2022-10-13T03:00:00Z,ph,7.97252482388844
2022-10-13T03:30:00Z,temperature,26.3
2022-10-13T03:30:00Z,ph,7.9712615802865
2022-10-13T04:00:00Z,temperature,26.33
2022-10-13T04:00:00Z,ph,7.97034796763946
2022-10-13T04:30:00Z,temperature,26.33
2022-10-13T04:30:00Z,ph,7.97034796763946
2022-10-13T05:00:00Z,temperature,26.33
2022-10-13T05:00:00Z,ph,7.97062007467058
2022-10-13T05:30:00Z,temperature,26.3
2022-10-13T05:30:00Z,ph,7.97071731170471
2022-10-13T06:00:00Z,temperature,26.3
2022-10-13T06:00:00Z,ph,7.97180584886829
2022-10-13T06:30:00Z,temperature,26.28
2022-10-13T06:30:00Z,ph,7.97159860461978
2022-10-13T07:00:00Z,temperature,26.28
2022-10-13T07:00:00Z,ph,7.97023784228423
2022-10-13T07:30:00Z,temperature,26.23
2022-10-13T07:30:00Z,ph,7.97502724267464
2022-10-13T08:00:00Z,temperature,26.23
2022-10-13T08:00:00Z,ph,7.97448284683809
2022-10-13T08:30:00Z,temperature,26.23
2022-10-13T08:30:00Z,ph,7.97284965932847
2022-10-13T09:00:00Z,temperature,26.26
2022-10-13T09:00:00Z,ph,7.97193567397668
2022-10-13T09:30:00Z,temperature,26.28
2022-10-13T09:30:00Z,ph,7.97187075708688
2022-10-13T10:00:00Z,temperature,26.28
2022-10-13T10:00:00Z,ph,7.97214290955399
2022-10-13T10:30:00Z,temperature,26.3
2022-10-13T10:30:00Z,ph,7.97235011745007
2022-10-13T11:00:00Z,temperature,26.3
2022-10-13T11:00:00Z,ph,7.96881237166845
2022-10-13T11:30:00Z,temperature,26.28
2022-10-13T11:30:00Z,ph,7.96669986021181
2022-10-13T12:00:00Z,temperature,26.3
2022-10-13T12:00:00Z,ph,7.96418608872326
2022-10-13T12:30:00Z,temperature,26.3
2022-10-13T12:30:00Z,ph,7.96500249159594
2022-10-13T13:00:00Z,temperature,26.3
2022-10-13T13:00:00Z,ph,7.96309755155968
2022-10-13T13:30:00Z,temperature,26.33
2022-10-13T13:30:00Z,ph,7.96327318483025
2022-10-13T14:00:00Z,temperature,26.35
2022-10-13T14:00:00Z,ph,7.96375303927854
2022-10-13T14:30:00Z,temperature,26.38
2022-10-13T14:30:00Z,ph,7.96501682402374
2022-10-13T15:00:00Z,temperature,26.33
2022-10-13T15:00:00Z,ph,7.96653846920373
2022-10-13T15:30:00Z,temperature,26.4
2022-10-13T15:30:00Z,ph,7.96821691642771
2022-10-13T16:00:00Z,temperature,26.38
2022-10-13T16:00:00Z,ph,7.96882568656802
2022-10-13T16:30:00Z,temperature,26.38
2022-10-13T16:30:00Z,ph,7.96936980978864
2022-10-13T17:00:00Z,temperature,26.38
2022-10-13T17:00:00Z,ph,7.97018599461956
2022-10-13T17:30:00Z,temperature,26.38
2022-10-13T17:30:00Z,ph,7.97127424106078
2022-10-13T18:00:00Z,temperature,26.35
2022-10-13T18:00:00Z,ph,7.97055526080295
2022-10-13T18:30:00Z,temperature,26.35
2022-10-13T18:30:00Z,ph,7.97028317194198
2022-10-13T19:00:00Z,temperature,26.35
2022-10-13T19:00:00Z,ph,7.96973899422002
2022-10-13T19:30:00Z,temperature,26.35
2022-10-13T19:30:00Z,ph,7.96674601674928
2022-10-13T20:00:00Z,temperature,26.38
2022-10-13T20:00:00Z,ph,7.96583300885466
2022-10-13T20:30:00Z,temperature,26.35
2022-10-13T20:30:00Z,ph,7.96511348358342
2022-10-13T21:00:00Z,temperature,26.38
2022-10-13T21:00:00Z,ph,7.96284033114129
2022-10-13T21:30:00Z,temperature,26.38
2022-10-13T21:30:00Z,ph,7.96120796147945
2022-10-13T22:00:00Z,temperature,26.38
2022-10-13T22:00:00Z,ph,7.96229620792068
2022-10-13T22:30:00Z,temperature,26.35
2022-10-13T22:30:00Z,ph,7.96293677269561
2022-10-13T23:00:00Z,temperature,26.35
2022-10-13T23:00:00Z,ph,7.96266468383463
2022-10-13T23:30:00Z,temperature,26.33
2022-10-13T23:30:00Z,ph,7.9602800074879
2022-10-14T00:00:00Z,temperature,26.35
2022-10-14T00:00:00Z,ph,7.9607600618078
2022-10-14T00:30:00Z,temperature,26.35
2022-10-14T00:30:00Z,ph,7.96021588408584
2022-10-14T01:00:00Z,temperature,26.35
2022-10-14T01:00:00Z,ph,7.95967170636389
2022-10-14T01:30:00Z,temperature,26.35
2022-10-14T01:30:00Z,ph,7.95939961750291
2022-10-14T02:00:00Z,temperature,26.33
2022-10-14T02:00:00Z,ph,7.9602800074879
2022-10-14T02:30:00Z,temperature,26.33
2022-10-14T02:30:00Z,ph,7.96109632858127
2022-10-14T03:00:00Z,temperature,26.33
2022-10-14T03:00:00Z,ph,7.95973579342565
2022-10-14T03:30:00Z,temperature,26.33
2022-10-14T03:30:00Z,ph,7.95891947233228
2022-10-14T04:00:00Z,temperature,26.33
2022-10-14T04:00:00Z,ph,7.96000790045677
2022-10-14T04:30:00Z,temperature,26.3
2022-10-14T04:30:00Z,ph,7.96092047723253
2022-10-14T05:00:00Z,temperature,26.28
2022-10-14T05:00:00Z,ph,7.9631618781394
2022-10-14T05:30:00Z,temperature,26.26
2022-10-14T05:30:00Z,ph,7.96240970137535
2022-10-14T06:00:00Z,temperature,26.26
2022-10-14T06:00:00Z,ph,7.96268187202111
2022-10-14T06:30:00Z,temperature,26.26
2022-10-14T06:30:00Z,ph,7.96268187202111
2022-10-14T07:00:00Z,temperature,26.26
2022-10-14T07:00:00Z,ph,7.96240970137535
2022-10-14T07:30:00Z,temperature,26.28
2022-10-14T07:30:00Z,ph,7.96397833554073
2022-10-14T08:00:00Z,temperature,26.28
2022-10-14T08:00:00Z,ph,7.96098465840253
2022-10-14T08:30:00Z,temperature,26.28
2022-10-14T08:30:00Z,ph,7.96044035346831
2022-10-14T09:00:00Z,temperature,26.3
2022-10-14T09:00:00Z,ph,7.96037620865074
2022-10-14T09:30:00Z,temperature,26.3
2022-10-14T09:30:00Z,ph,7.96064834294163
2022-10-14T10:00:00Z,temperature,26.33
2022-10-14T10:00:00Z,ph,7.95919157936341
2022-10-14T10:30:00Z,temperature,26.33
2022-10-14T10:30:00Z,ph,7.95837525827004
2022-10-14T11:00:00Z,temperature,26.33
2022-10-14T11:00:00Z,ph,7.95619840202105
2022-10-14T11:30:00Z,temperature,26.28
2022-10-14T11:30:00Z,ph,7.95254793192215
2022-10-14T12:00:00Z,temperature,26.3
2022-10-14T12:00:00Z,ph,7.95438925425107
2022-10-14T12:30:00Z,temperature,26.3
2022-10-14T12:30:00Z,ph,7.95520565712375
2022-10-14T13:00:00Z,temperature,26.35
2022-10-14T13:00:00Z,ph,7.95341366256143
2022-10-14T13:30:00Z,temperature,26.38
2022-10-14T13:30:00Z,ph,7.95576672927333
2022-10-14T14:00:00Z,temperature,26.4
2022-10-14T14:00:00Z,ph,7.95679109168626
2022-10-14T14:30:00Z,temperature,26.3
2022-10-14T14:30:00Z,ph,7.95411711996018
2022-10-14T15:00:00Z,temperature,26.35
2022-10-14T15:00:00Z,ph,7.9572229066151
2022-10-14T15:30:00Z,temperature,26.45
2022-10-14T15:30:00Z,ph,7.95608742283647
2022-10-14T16:00:00Z,temperature,26.35
2022-10-14T16:00:00Z,ph,7.95395784028338
2022-10-14T16:30:00Z,temperature,26.38
2022-10-14T16:30:00Z,ph,7.9546784828321
2022-10-14T17:00:00Z,temperature,26.38
2022-10-14T17:00:00Z,ph,7.95277405155996
2022-10-14T17:30:00Z,temperature,26.4
2022-10-14T17:30:00Z,ph,7.95488678756269
2022-10-14T18:00:00Z,temperature,26.4
2022-10-14T18:00:00Z,ph,7.96059969993341
2022-10-14T18:30:00Z,temperature,26.4
